series_id,obs_date,value
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2008-12-31,3867.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2009-12-31,2922.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2010-12-31,2468.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2011-12-31,2358.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2012-12-31,2277.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2013-12-31,2306.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2014-12-31,2220.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2015-12-31,2158.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2016-12-31,2131.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2017-12-31,2196.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2018-12-31,2302.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2019-12-31,2339.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2020-12-31,2205.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2021-12-31,2376.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2022-12-31,2673.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2023-12-31,2766.0
DST:AMR2:SOCIO=021:KØN=M:ALDER=-15:HERKOMST=999,2024-12-31,2670.0
